spectralMatchRank	spectrumType	analogHit	querySpectrumIndex	querySpectrumScanNumber	querySpectrumMsLevel	querySpectrumCE	similarity	sharedPeaks	referenceMsLevel	referenceCE	referenceAdduct	referencePrecursorMz	referenceInstrument	referenceSmiles	referenceSplash	referenceName	referenceLinks	InChIkey2D	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	SPECTRUM	true	18		2	-1 eV	0.630119	7	2	90 eV	[M + H]+	358.145	Orbitrap (LCMS)	CC(=O)C1=CC2=C(C=C1)OC(C(C2NC(=O)C3=CC=C(C=C3)F)O)(C)C	splash10-0a4i-9700000000-de34855f7676f14351be	Carabersat	public_spectra_2506:(MSBNK-LCSB-LU115206)	RCLXAPJEFHPYEG	209.138	61	1.020	857336430651001572	857336430646807267	1670	
1	SPECTRUM	true	-1		2		0.6912488	6	2	-1 eV (corrected -1 eV)	[M + H]+	421.149	Orbitrap (LCMS)	CC(CC1=C(C(=O)C(=CO1)C(=O)C2=C(C=C(C=C2OC)OC)C(=O)OC)OC)OC	splash10-0a4i-9000000000-13189fd3270c8ea9dc3e	Compound NP-015657	public_spectra_2506:(BRUNGS_NIHNP_01181)	SADAOVOLILWFIU	165.112	62	1.035	857336430743276264	857336430739081959	1656	
1	SPECTRUM	true	5		2	-1 eV	0.36541554	6	2	-1 eV (corrected -1 eV)	[M - H2O + H]+	159.080	Orbitrap (LCMS)	CC(=O)C=CC1=CC=C(C=C1)OC	splash10-0a4l-2900000000-c9023c3fe86f7bbbe7dc	Anisalacetone	public_spectra_2506:(CCMSLIB00006702075)	WRRZKDVBPZBNJN	213.923	63	1.047	857336430898465516	857336430894271211	1768	
1	SPECTRUM	true	-1		2		0.5226703	6	2	-1 eV (corrected -1 eV)	[M + Na]+	293.078	FTICR (LCMS)	COC1=C(C=CC(=C1)O)C(=O)C=CC2=CC=C(C=C2)O	null-null-null-null	3-Deoxysappanchalcone	public_spectra_2506:(CCMSLIB00004696871)	PACBGANPVNHGNP	218.975	70	1.162	857336431200455412	857336431196261107	2048	
1	SPECTRUM	true	0		2	-1 eV	0.36546427	10	2	-1 eV (corrected -1 eV)	[M + Na]+	237.073	Orbitrap (LCMS)	CC1C(C(C=CO1)OC(=O)C)OC(=O)C	splash10-0002-9110000000-76e778c4e957be45d8ab	Diacetyl-L-rhamnal	public_spectra_2506:(CCMSLIB00010125919)	NDEGMKQAZZBNBB	213.923	81	1.348	857336431653440260	857336431649245955	2190	
1	SPECTRUM	true	27		2	-1 eV	0.42282844	6	2	-1 eV (corrected -1 eV)	[M + Na]+	196.022	Orbitrap (LCMS)	C(C(=O)O)NC(=O)C=CC(=O)O	splash10-0002-9700000000-d5e1f7a3b382fadecfcb	N-Glycinylmaleamic acid	public_spectra_2506:(CCMSLIB00010125529)	JKCBZBFTTXFZGH	163.940	82	1.363	857336431745714952	857336431745714951	2195	
1	SPECTRUM	true	36		2	-1 eV	0.3441696	6	2	-1 eV (corrected -1 eV)	[M + H]+	257.081	Orbitrap (LCMS)	C1C(C(=O)C2=C(O1)C=C(C=C2)O)C3=CC=C(C=C3)O	splash10-074j-9800000000-3446e1eeb0d814775fa9	dihydrodaidzein	public_spectra_2506:(BRUNGS_MCEBIO_06647)	JHYXBPPMXZIHKG	135.945	83	1.385	857336431833795340	857336431833795339	2202	
3	SPECTRUM	true	1		2	-1 eV	0.56964195	6	2	-1 eV (corrected -1 eV)	[M + H]+	301.239	Orbitrap (LCMS)	CC(C)C1=NC(=C(C2=C1CCCC2)C#N)NCCCN(C)C	splash10-0a70-9260000000-0b75c4f717d9d953120e	3-{[3-(dimethylamino)propyl]amino}-1-isopropyl-5,6,7,8-tetrahydro-4-isoquinolinecarbonitrile	public_spectra_2506:(BRUNGS_MCESCAF_00610)	WTLXQYKLIMSRJP	118.123	103	1.713	857336432018344724	857336432014150419	2407	
2	SPECTRUM	true	14		2	-1 eV	0.5898038	12	2	22 eV	[M + H]+	149.107	Orbitrap (LCMS)	C1CC(NC1)C2=CN=CC=C2	splash10-001i-3900000000-73abee1b55e5f70341cb	Nornicotin	public_spectra_2506:(MSBNK-Eawag-EQ328005)	MYKUKUCHPMASKF	177.102	118	1.971	857336432119008024	857336432114813719	2517	
1	SPECTRUM	true	0		2	-1 eV	0.75938755	11	2	-1 eV (corrected -1 eV)	[M + H]+	147.092	Orbitrap (LCMS)	CC1=CC2=C(C=C1C)N=CN2	splash10-001i-2900000000-7be8a177ec3ff531284e	Dimedazol	public_spectra_2506:(BRUNGS_MCEBIO_07524)	LJUQGASMPRMWIW	133.076	239	3.978	857336432567798572	857336432567798571	3190	
