id,sirius_id,annotation_type,compound_name,smiles,molecular_formula,precursor_mz,rt,score
11690,857336455535808464,spectral_match,Oprea1_447813,C1CCC(CC1)NC(=O)NC2CCCCC2,,225.196,10.758,0.958783
11747,857336455611305940,denovo,Tridecylamine,CCCCCCCCCCCCCN,C13H29N,200.237,10.815,-0.948
11803,857336455741329372,denovo,1-Butyl-3-hexylurea,CCCCCCNC(=O)NCCCC,C11H24N2O,201.196,10.852,-0.452
11873,857336455972016108,denovo,N-Benzyl-2-phenylacetamide,C1=CC=C(C=C1)CC(=O)NCC2=CC=CC=C2,C15H15NO,226.123,10.974,-0.075
11951,857336455917490152,spectral_match,Armeen 14,CCCCCCCCCCCCCCN,,214.253,10.968,0.89844793
12136,857336456194314236,denovo,Tridecylamine,CCCCCCCCCCCCCN,C13H29N,200.237,11.099,-0.974
12200,857336456374669320,spectral_match,|A-Decalactone,CCCCC1CCCCC(=O)O1,,171.138,11.13,0.894141
12250,857336456559218708,structure_db_match,Hexadecylamine,CCCCCCCCCCCCCCCCN,C16H35N,242.284,11.163,0.829
12286,857336456752156704,spectral_match,Admox 12,CCCCCCCCCCCC[N+](C)(C)[O-],,230.248,11.183,0.9412812
12299,857336456886374440,denovo,N-Benzyl-2-phenylacetamide,C1=CC=C(C=C1)CC(=O)NCC2=CC=CC=C2,C15H15NO,226.123,11.186,-0.035
12429,857336457200947260,spectral_match,Armeen 14,CCCCCCCCCCCCCCN,,214.253,11.287,0.9500762
12433,857336457142227000,denovo,"Triethylene glycol, hexyl ether, acetate",CCCCCCOCCOCCOCCOC(=O)C,C14H28O5,277.201,11.282,-1.04
12469,857336457263861824,spectral_match,|A-Decalactone,CCCCC1CCCCC(=O)O1,,171.138,11.288,0.8472764
12700,857336457683292252,denovo,Oxidooxyethene,C=COO,C2H4O2,98.984,11.434,-1.056
12752,857336457922367596,structure_db_match,Corfree M 2,C(CCCCCC(=O)O)CCCCC(=O)O,C12H22O4,231.159,11.476,0.876
12753,857336457981087856,denovo,N-Benzyl-2-phenylacetamide,C1=CC=C(C=C1)CC(=O)NCC2=CC=CC=C2,C15H15NO,226.123,11.476,-0.023
12766,857336458228551808,spectral_match,Indigo J,C1=CC=C2C(=C1)C(=O)C(=C3C(=O)C4=CC=CC=C4N3)N2,,263.082,11.483,0.8020742
12809,857336458517958804,spectral_match,Amgard TMCP,CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl,,327.008,11.506,0.9768408
13034,857336459134521532,spectral_match,Amgard TMCP,CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl,,327.008,11.632,0.97741765
13066,857336459256156356,denovo,1-Cyclohexyl-3-hexylurea,CCCCCCNC(=O)NC1CCCCC1,C13H26N2O,227.212,11.649,-1.855
13136,857336459499426004,denovo,Oxidooxyethene,C=COO,C2H4O2,98.984,11.71,-0.952
13556,857336460606722336,spectral_match,Amgard TMCP,CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl,,327.008,12.028,0.9764785
13561,857336460980015416,denovo,Oxidooxyethene,C=COO,C2H4O2,98.984,12.031,-1.645
13567,857336460736745768,denovo,But-3-en-2-yl-dioxido-oxo-lambda5-phosphane,CC(C=C)P(=O)(O)O,C4H9O3P,174.992,12.029,-2.24
13937,857336461634326884,spectral_match,N-Octylpyrrolidone,CCCCCCCCN1CCCC1=O,,198.185,12.339,0.9821046
14132,857336462129254780,spectral_match,N-Octylpyrrolidone,CCCCCCCCN1CCCC1=O,,198.185,12.49,0.9812781
14310,857336462523519384,structure_db_match,N-cyclohexylcyclohexanecarboxamide,C1CCC(CC1)C(=O)NC2CCCCC2,C13H23NO,210.185,12.583,0.962
14414,857336462640959904,spectral_match,N-Octylpyrrolidone,CCCCCCCCN1CCCC1=O,,198.185,12.689,0.9868309
14431,857336462695485860,denovo,Oprea1_074824,C1=CC=C(C=C1)NC2=CC=C(C=C2)[N+](=O)[O-],C12H10N2O2,215.082,12.697,-0.68
14559,857336462934561204,structure_db_match,"1-Hexylpyrrole-2,5-dione",CCCCCCN1C(=O)C=CC1=O,C10H15NO2,182.118,12.761,0.957
14592,857336462989087160,structure_db_match,Hexadecylamine,CCCCCCCCCCCCCCCCN,C16H35N,242.284,12.785,0.884
14675,857336463039418812,structure_db_match,N-cyclohexylcyclohexanecarboxamide,C1CCC(CC1)C(=O)NC2CCCCC2,C13H23NO,210.185,12.854,0.955
14787,857336463194608072,structure_db_match,Benzo Flex 2-45,C1=CC=C(C=C1)C(=O)OCCOCCOC(=O)C2=CC=CC=C2,C18H18O5,315.123,12.934,0.958
14825,857336463299465680,denovo,,O=Cc1cccc(C=CO)c1,C9H8O2,149.06,12.945,-2.766
14869,857336463353991636,denovo,,NCC1CCC(CC2CCCC2)CC1,C13H25N,234.162,12.988,-2.863
14903,857336463408517592,structure_db_match,"1,3-bis(4-{2-[4-(2-hydroxy-2-methoxyethoxy)phenyl]propan-2-yl}phenoxy)propan-2-ol",CC(C)(C1=CC=C(C=C1)OCC(COC2=CC=C(C=C2)C(C)(C)C3=CC=C(C=C3)OCC(O)OC)O)C4=CC=C(C=C4)OCC(O)OC,C39H48O9,661.337,12.995,0.84
15029,857336463718896112,spectral_match,Benzo Flex 2-45,C1=CC=C(C=C1)C(=O)OCCOCCOC(=O)C2=CC=CC=C2,,315.123,13.117,0.8825693
15109,857336463823753720,denovo,Oxidooxyethene,C=COO,C2H4O2,98.984,13.173,-1.152
15127,857336463878279676,spectral_match,"3,5-Di-t-butyl-4-hydroxybenzaldehyde",CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C=O,,235.166,13.186,0.99607265
15250,857336463995720196,structure_db_match,Benzo Flex 2-45,C1=CC=C(C=C1)C(=O)OCCOCCOC(=O)C2=CC=CC=C2,C18H18O5,332.149,13.287,0.953
15252,857336464104772108,spectral_match,Benzo Flex 2-45,C1=CC=C(C=C1)C(=O)OCCOCCOC(=O)C2=CC=CC=C2,,315.123,13.288,0.88925636
15683,857336464696169016,denovo,N-Cyclohexyloctanamide,CCCCCCCC(=O)NC1CCCCC1,C14H27NO,226.217,13.701,-0.069
15721,857336464796832320,spectral_match,bmse000777,CCCCOP(=O)(OCCCC)OCCCC,,267.172,13.73,0.93067104
15728,857336464847163972,denovo,Oxidooxyethene,C=COO,C2H4O2,98.984,13.734,-1.931
16061,857336465258205796,denovo,Heptadecylazanium,CCCCCCCCCCCCCCCCCN,C17H37N,256.3,13.96,-0.924
16282,857336465639887488,spectral_match,Amine AB,CCCCCCCCCCCCCCCCCCN,,270.316,14.143,0.9787819
16303,857336465585361532,spectral_match,Isobutyl phosphate,CC(C)COP(=O)(OCC(C)C)OCC(C)C,,267.172,14.137,0.9699357
16345,857336465874768528,spectral_match,Reofos TPP,C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,,327.078,14.231,0.9243337
16360,857336465933488788,denovo,"Diethylene glycol, decyl ether",CCCCCCCCCCOCCOCCO,C14H30O3,264.253,14.224,-0.632
16376,857336466059317916,denovo,2-(6-Hexoxyhexoxy)ethanol,CCCCCCOCCCCCCOCCO,C14H30O3,247.227,14.237,-2.742
16421,857336466180952740,denovo,"2-[2-[2-(1,1-Dideuteriodecoxy)ethoxy]ethoxy]ethanol",CCCCCCCCCCOCCOCCOCCO,C16H34O4,308.28,14.287,-0.161
16423,857336466453582520,spectral_match,Reofos TPP,C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,,327.078,14.336,0.936816
16463,857336466394862260,structure_db_match,2-Phenylbenzothiazole,C1=CC=C(C=C1)C2=NC3=CC=CC=C3S2,C13H9NS,212.053,14.31,0.845
16511,857336466508108476,denovo,Oxidooxyethene,C=COO,C2H4O2,98.984,14.333,-1.957
16517,857336466558440128,spectral_match,Isobutyl phosphate,CC(C)COP(=O)(OCC(C)C)OCC(C)C,,267.172,14.334,0.9703481
16530,857336466608771780,denovo,"3,6,9,12-Tetraoxadocosan-1-ol",CCCCCCCCCCOCCOCCOCCOCCO,C18H38O5,335.279,14.342,-0.206
16558,857336466717823692,structure_db_match,Myristamide,CCCCCCCCCCCCCC(=O)N,C14H29NO,228.232,14.354,0.839
16614,857336466973676256,denovo,"3,6,9,12,15,18-Hexaoxaoctacosan-1-ol",CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,C22H46O7,423.332,14.38,-0.135
16707,857336467279860468,spectral_match,Reofos TPP,C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,,327.078,14.459,0.9498802
