formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C13H20O	[M + H]+	C13H21O+		0.333	214.182	214.182	0.000	44	0.983	-0.238	0.470	0.612		193.159	637	10.610	857323751916939500	857316090457911451	857316090457911450	13468	
1	C13H28OSi	[M + H]+	C13H29OSi+		0.863	145.175	145.175	0.000	29	0.607	0.175	0.679	4.326		229.199	637	10.611	857323746636310757	857316090512437407	857316090512437406	13460	
1	C13H25NO2	[M + H]+	C13H26NO2+		1.000	167.477	161.825	5.652	38	0.921	1.082	1.082	0.283		228.196	637	10.612	857323736603535546	857316090617295011	857316090617295010	13474	
1	C8H17NSi	[M + H]+	C8H18NSi+		0.500	34.353	34.353	0.000	6	0.185	2.511	2.511	0.688		156.120	641	10.680	857323748003653865	857316090684403879	857316090684403878	13535	
1	C8H10F2NO4	[M + H]+	C8H11F2NO4+		0.999	188.399	188.399	0.000	34	0.741	0.791	8.116	-5.764		223.064	643	10.708	857323799249664353	857316090743124139	857316090743124138	13573	
1	C6H13NSi	[M + H]+	C6H14NSi+		0.910	6.635	6.635	0.000	2	0.039	8.860	8.860	-0.331		128.089	645	10.754	857323820774832513	857316090793455791	857316090793455790	13660	
1	C7H13FO	[M + H]+	C7H14FO+		1.000	17.588	17.588	0.000	3	0.786	-13.525	13.525	14.727		133.104	647	10.791	857323768174062852	857316090843787443	857316090843787442	13693	
1	C16H24O4	[M + H]+	C16H25O4+		1.000	169.364	169.364	0.000	40	0.997	0.041	0.527	0.371		281.175	649	10.825	857323803272001911	857316090889924791	857316090889924790	13727	
1	C4H9NSi	[M + H]+	C4H10NSi+		1.000	19.213	19.213	0.000	4	0.095	4.188	4.188	-0.622		100.058	650	10.828	857323842543270276	857316090940256443	857316090940256442	13728	
1	C14H31NO	[M + H]+	C14H32NO+		1.000	28.748	28.748	0.000	8	0.982	2.507	2.507	0.473		230.248	650	10.832	857323936021723530	857316090982199487	857316090982199486	13621	
1	C12H27N	[M + H]+	C12H28N+		1.000	13.811	13.674	0.137	2	1.000	3.751	3.751	0.503		186.222	653	10.880	857323880858237321	857316091028336835	857316091028336834	13792	
1	C12H25NO2	[M + H]+	C12H26NO2+		1.000	29.803	29.803	0.000	6	1.000	0.792	0.792	0.530		216.196	653	10.881	857323862441048455	857316091082862791	857316091082862790	13848	
1	C20H43NO4	[M + H]+	C20H44NO4+		1.000	29.810	29.810	0.000	9	0.993	0.693	0.693	-0.429		362.326	656	10.936	857324067857090503	857316091124805835	857316091124805834	13857	
1	C16H35NO3	[M + H]+	C16H36NO3+		1.000	69.476	63.724	5.753	17	0.982	0.364	0.676	0.274		290.269	657	10.950	857324099796715480	857316091170943183	857316091170943182	13882	
1	C14H29NO3	[M + H]+	C14H30NO3+		1.000	47.320	44.266	3.054	11	0.992	0.559	0.594	0.537		260.222	658	10.974	857324096386746323	857316091217080531	857316091212886226	13913	
1	C14H25NO2	[M + H]+	C14H26NO2+		1.000	101.043	101.043	0.000	17	1.000	0.388	0.411	0.393		240.196	659	10.985	857324112761310022	857316091263217879	857316091263217878	13916	
1	C13H27Cl	[M + H]+	C13H28Cl+		0.942	48.292	48.292	0.000	21	0.768	-0.075	0.993	-0.297		219.187	665	11.081	857324117148552013	857316091305160923	857316091305160922	14025	
1	C13H29N	[M + H]+	C13H30N+		1.000	19.816	14.277	5.539	3	0.083	1.766	1.766	0.468		200.237	666	11.103	857324123892993244	857316091351298271	857316091351298270	14072	
1	C16H33NO3	[M + H]+	C16H34NO3+		1.000	44.309	40.475	3.834	9	0.977	0.436	0.703	0.311		288.253	666	11.108	857324170458159554	857316091443572967	857316091443572966	14130	
1	C11H10N4O4	[M + H]+	C11H11N4O4+		1.000	78.006	77.316	0.690	24	0.913	0.312	0.466	-0.309		263.077	668	11.127	857324199751189630	857316091489710315	857316091489710314	14125	
1	C14H10O	[M + H]+	C14H11O+		0.999	54.162	51.141	3.021	13	0.958	0.795	0.795	0.608		195.081	676	11.268	857324197658228480	857316091540041967	857316091540041966	14268	
1	C21H15NO4	[M + H]+	C21H16NO4+		0.181	26.228	26.228	0.000	3	0.894	1.255	1.255	-0.446		346.107	676	11.272	857324219384734397	857316091586179315	857316091586179314	14274	
1	C9H10O	[M + H]+	C9H11O+		0.500	56.907	56.907	0.000	10	0.921	1.986	1.986	0.434		135.081	677	11.288	857324226313724710	857316091682648315	857316091678454010	14287	
1	C11H20O	[M + H]+	C11H21O+		1.000	79.897	77.417	2.480	16	0.888	1.121	1.121	0.345		169.159	678	11.298	857324219502174929	857316091749757183	857316091749757182	14308	
1	C7H8	[M + H]+	C7H9+		0.983	74.121	74.121	0.000	9	0.940	4.066	4.066	0.680		93.070	678	11.299	857324223268659990	857316091795894531	857316091795894530	14318	
1	C14H31N	[M + H]+	C14H32N+		1.000	43.158	43.158	0.000	6	0.957	2.057	2.057	0.297		214.253	678	11.299	857324221037290244	857316091846226183	857316091842031878	14303	
1	C9H11F3N2O4	[M + Na]+	C9H11F3N2NaO4+		0.992	73.177	69.057	4.120	26	0.813	1.235	1.843	-3.375		291.055	679	11.319	857324249478865820	857316091892363531	857316091888169226	14294	
1	C19H36O3S	[M + H]+	C19H37O3S+		0.500	178.147	178.147	0.000	55	0.978	-1.004	1.286	-0.644		345.246	681	11.345	857324307284763691	857316091942695183	857316091942695182	14363	
1	C16H28N6O4	[M + H3N + H]+	C16H32N7O4+		0.597	44.140	44.140	0.000	10	0.989	-0.114	0.197	6.631		386.254	682	11.373	857324233288852311	857316091984638227	857316091984638226	14399	
1	C22H39NO6	[M + H]+	C22H40NO6+		0.881	11.880	11.880	0.000	3	1.000	-0.358	0.358	-0.252		414.285	682	11.374	857324228503151428	857316092026581271	857316092022386966	14401	
1	C15H14OS	[M + H]+	C15H15OS+		0.989	51.728	51.728	0.000	14	0.987	1.089	1.089	0.566		243.084	683	11.387	857324248203797394	857316092068524315	857316092068524314	14419	
