structurePerIdRank	formulaRank	CSI:FingerIDScore	ModelScore	ZodiacScore	SiriusScoreNormalized	SiriusScore	molecularFormula	adduct	precursorFormula	InChIkey2D	InChI	name	smiles	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	3	-50.972	-7.068		0.293	34.307	C5H5BrN4O2	[M + Na]+	C5H5BrN4NaO2+	VANZDJWTRGUKJG	InChI=1S/C5H5BrN4O2/c6-3-5-9-7-4(8-10-5)1-2-12-11/h1-2,11H,3H2		OOC=Cc1nnc(CBr)nn1	254.949	57	0.944	857317082906236015	857316065917037303	857316065912842998	857	
1	2	-32.463	-0.310		0.000	136.705	C10H14N2	[M + H]+	C10H15N2+	SNICXCGAKADSCV	InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3	Habitrol	CN1CCCC1C2=CN=CC=C2	163.123	57	0.945	857317119929357478	857316066000923387	857316065996729082	859	
1	1	-26.669	-6.572		0.617	29.577	C3H8O4S4	[M + H]+	C3H9O4S4+	LGBFZRAJZXYCIU	InChI=1S/C3H8O4S4/c1-10(4)8-2-3-9-11(5,6)7/h10H,1-3H2,(H,5,6,7)		C=[SH](=O)SCCSS(=O)(=O)O	236.939	57	0.953	857317109061915784	857316066084809471	857316066080615166	987	
1	1	-51.140	-3.375		0.500	78.606	C6H13NO	[M + H]+	C6H14NO+	FGWQBWILFPVUBB	InChI=1S/C6H13NO/c7-6-4-5(6)2-1-3-8/h5-6,8H,1-4,7H2	3-(2-Aminocyclopropyl)propan-1-ol	C1C(C1N)CCCO	116.107	58	0.960	857317122534020267	857316066286136071	857316066281941766	1001	
1	1	-106.952	-7.083		1.000	94.328	C9H21NO2	[M - H2O + H]+	C9H20NO+	NWRQRABFOMNXPZ	InChI=1S/C9H21NO2/c1-8(2,11)5-7(10)6-9(3,4)12/h7,11-12H,5-6,10H2,1-4H3		CC(C)(O)CC(N)CC(C)(C)O	158.154	58	0.960	857317124178187439	857316066370022155	857316066365827850	1067	
1	1	-9.441	-2.312		1.000	46.817	C12H23N	[M + H]+	C12H24N+	XBPCUCUWBYBCDP	InChI=1S/C12H23N/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h11-13H,1-10H2	Dicha	C1CCC(CC1)NC2CCCCC2	182.190	58	0.961	857317144830940342	857316066466491151	857316066466491150	1109	
1	1	-13.981	-2.655		1.000	37.204	C6H15N	[M + H]+	C6H16N+	ZMANZCXQSJIPKH	InChI=1S/C6H15N/c1-4-7(5-2)6-3/h4-6H2,1-3H3	triethylamine	CCN(CC)CC	102.128	58	0.961	857317130519975092	857316066554571539	857316066550377234	993	
1	1	-42.356	-3.201		1.000	70.761	C8H19N	[M + H]+	C8H20N+	CCRUHKGZAQXBKC	InChI=1S/C8H19N/c1-4-5-6-9-7-8(2)3/h8-9H,4-7H2,1-3H3	1-Butanamine, N-(2-methylpropyl)-	CCCCNCC(C)C	130.159	58	0.961	857317134563284149	857316066638457623	857316066638457622	1145	
1	2	-100.244	-3.709		0.277	12.063	C9H20O5	[M + Na]+	C9H20NaO5+	SPTYTVWXPXITEQ	InChI=1S/C9H20O5/c10-5-3-1-2-4-7(12)9(14)8(13)6-11/h7-14H,1-6H2	Nonane-1,2,3,4,9-pentol	C(CCC(C(C(CO)O)O)O)CCO	231.120	58	0.970	857317341044677134	857316066718149403	857316066713955098	1221	
1	1	-48.177	-7.990		1.000	86.829	C12H23NO	[M + H]+	C12H24NO+	HDNIYIUPUURNFI	InChI=1S/C12H23NO/c14-12-8-6-11(7-9-12)13-10-4-2-1-3-5-10/h10-14H,1-9H2	Cyclohexyl-cis-(4-hydroxycyclohexyl)amine	C1CCC(CC1)NC2CCC(CC2)O	198.185	58	0.972	857317335273314281	857316066818812703	857316066814618398	1110	
1	2	-43.992	-0.217		0.500	42.381	C6H15NO	[M - H2O + H]+	C6H14N+	SUTWPJHCRAITLU	InChI=1S/C6H15NO/c7-5-3-1-2-4-6-8/h8H,1-7H2	6-Aminohexyloxidanium	C(CCCO)CCN	100.112	59	0.977	857317334958741271	857316066990779175	857316066986584870	986	
1	1	-26.879	-0.434		0.762	84.567	C8H8N2	[M + H]+	C8H9N2+	RWXZXCZBMQPOBF	InChI=1S/C8H8N2/c1-6-2-3-7-8(4-6)10-5-9-7/h2-5H,1H3,(H,9,10)	5-Methylbenzimidazole	CC1=CC2=C(C=C1)N=CN2	133.076	59	0.980	857317356093844425	857316067070470955	857316067070470954	1789	
1	1	-61.760	-2.345		1.000	99.864	C8H10N2O	[M + H]+	C8H11N2O+	FEBQTMQGJXZYKX	InChI=1S/C8H10N2O/c1-5-3-2-4-6(7(5)9)8(10)11/h2-4H,9H2,1H3,(H2,10,11)	2-Amino-3-methylbenzamide	CC1=C(C(=CC=C1)C(=O)N)N	151.087	59	0.988	857317348237910986	857316067313740599	857316067309546294	1319	
1	1	-86.310	-6.913		1.000	62.951	C6H13NO4	[M + H]+	C6H14NO4+	IMBIDOYRGNSRGX	InChI=1S/C6H13NO4/c8-2-1-7-5(3-9)6(11)4-10/h1-2,5-11H,3-4H2		OC=CNC(CO)C(O)CO	164.092	59	0.988	857317354034441134	857316067393432379	857316067393432378	1253	
1	2	-72.021	-5.219		0.079	38.481	C3H10N2O	[M + K]+	C3H10KN2O+	DVQSFYWZPHOLCE	InChI=1S/C3H10N2O/c1-2-6-5-3-4/h5H,2-4H2,1H3	N'-ethoxymethanediamine	CCONCN	129.041	59	0.989	857317357033368601	857316067481512767	857316067477318462	1396	
1	2	-55.177	-7.631		0.042	3.793	CFNO4S	[M + H]+	CHFNO4S+	GFPQCUQOWQBJGU	InChI=1S/CFNO4S/c2-1(4)8(6,7)3-5		O=NS(=O)(=O)C(=O)F	141.959	59	0.991	857317365807855130	857316067569593155	857316067565398850	1655	
1	1	-81.925	-6.031		1.000	52.314	C5H9BrO5	[M + Na]+	C5H9BrNaO5+	YRZZSEGNJSELPK	InChI=1S/C5H9BrO5/c6-2-1-5(10,11)3(7)4(8)9/h3,7,10-11H,1-2H2,(H,8,9)		O=C(O)C(O)C(O)(O)CCBr	250.954	60	0.996	857317365979821607	857316067645090631	857316067645090630	1400	
1	1	-124.007	-8.095		1.000	52.437	C13H25N5O3	[M + H]+	C13H26N5O3+	ZIJTUQKBFSPYHG	InChI=1S/C13H25N5O3/c19-12-11-15-9-6-5-8-14-7-3-1-2-4-10-16-13-17-18(20)21/h13-15,19H,1-10H2,(H,16,17)		O=[N+]([O-])NC=NCCCCCCNCCCCNC#CO	300.202	60	1.000	857317351467526504	857316067720588107	857316067720588106	1923	
1	1	-75.820	-5.960		1.000	67.065	C4H7NO4S2	[M + Na]+	C4H7NNaO4S2+	OQHZQBHLMIYTEQ	InChI=1S/C4H7NO4S2/c1-5-11(9)3-10(8)2-4(6)7/h1-3H2,(H,6,7)		C=NS(=O)CS(=O)CC(=O)O	219.973	60	1.003	857317372510353425	857316068089686879	857316068085492574	1489	
1	1	-124.321	-6.858		1.000	96.102	C5H10F2N2	[M + H]+	C5H11F2N2+	HZLSCPNCPFYASF	InChI=1S/C5H10F2N2/c1-9(3-2-8)4-5(6)7/h4H,2-3,8H2,1H3		CN(C=C(F)F)CCN	137.090	60	1.004	857317365921101347	857316068160990051	857316068156795746	1470	
1	1	-57.189	-0.411		1.000	38.310	C5H8O2	[M + H]+	C5H9O2+	IGRURXZWJCSNKU	InChI=1S/C5H8O2/c1-4(2)3-5(6)7/h1,3H2,2H3,(H,6,7)	Iso-propenylacetate	CC(=C)CC(=O)O	101.060	61	1.009	857317365799466519	857316068320373611	857316068320373610	1675	
1	5	-79.841	-8.754		0.028	14.385	C11H25N11	[M + H]+	C11H26N11+	UOOYRWXUAOYBST	InChI=1S/C11H25N11/c1-4-20(5-2)8(13)22(15)11-17-9(19-14)16-10(18-11)21(6-3)7-12/h13H,4-7,12,14-15H2,1-3H3,(H,16,17,18,19)		CCN(CC)C(=N)N(N)c1nc(NN)nc(N(CC)CN)n1	312.238	61	1.014	857317361949092926	857316068391676783	857316068391676782	1684	
1	1	-59.320	-5.725		0.945	40.888	C8H25N7O4	[M + H]+	C8H26N7O4+	PVKJPDLOCQTJFN	InChI=1S/C8H25N7O4/c9-13(15(12)14(10)11)1-3-17-5-7-19-8-6-18-4-2-16/h16H,1-12H2		NN(N)N(N)N(N)CCOCCOCCOCCO	284.207	61	1.020	857317369654031942	857316068471368563	857316068471368562	1678	
1	1	-3.723	-0.468		1.000	99.997	C8H10N4O2	[M + H]+	C8H11N4O2+	RYYVLZVUVIJVGH	InChI=1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3	Thein	CN1C=NC2=C1C(=O)N(C(=O)N2C)C	195.088	62	1.027	857317371071706913	857316068815301507	857316068815301506	1525	
