spectralMatchRank	spectrumType	analogHit	querySpectrumIndex	querySpectrumScanNumber	querySpectrumMsLevel	querySpectrumCE	similarity	sharedPeaks	referenceMsLevel	referenceCE	referenceAdduct	referencePrecursorMz	referenceInstrument	referenceSmiles	referenceSplash	referenceName	referenceLinks	InChIkey2D	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
4	SPECTRUM	false	1		2	-1 eV	0.92810017	3	2	20 eV	[M + H]+	196.206	Q-ToF (LCMS)	CN(C1CCCCC1)C2CCCCC2	splash10-06sj-8900000000-41c7e949e2ea03cbffe3	Dicyclohexylmethylamine	public_spectra_2506:(MSBNK-EPA-ENTACT_AGILENT000545)	GSCCALZHGUWNJW	196.206	362	6.025	857316081473711615	857316081473711614	6824	
33	SPECTRUM	false	4		2	-1 eV	0.9296876	3	2	20 eV	[M + H]+	196.206	Q-ToF (LCMS)	CN(C1CCCCC1)C2CCCCC2	splash10-06sj-8900000000-41c7e949e2ea03cbffe3	Dicyclohexylmethylamine	public_spectra_2506:(MSBNK-EPA-ENTACT_AGILENT000545)	GSCCALZHGUWNJW	196.206	368	6.140	857316081742147091	857316081737952786	7085	
1	SPECTRUM	false	1		2	-1 eV	0.9071921	14	2	36 eV	[M + H]+	304.154	Orbitrap (LCMS)	CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC	splash10-001i-3900000000-cb0b593e7f379f7c6aef	Blizzard	public_spectra_2506:(MSBNK-Eawag-EA281711)	ZPUCINDJVBIVPJ	304.154	381	6.357	857316082123828779	857316082119634474	7590	
3	SPECTRUM	false	1		2	-1 eV	0.5661885	10	2	75 eV	[M + H]+	163.039	Orbitrap (LCMS)	CC1=CC2=C(C=C1)C(=O)OC2=O	splash10-0002-9400000000-95f109849d9ce2ecdf9d	Ambap19438-61-0	public_spectra_2506:(MSBNK-LCSB-LU019405)	ZOXBWJMCXHTKNU	163.039	382	6.368	857316082182549039	857316082182549038	7592	
2	SPECTRUM	false	7		2	-1 eV	0.546238	25	2	-1 eV (corrected -1 eV)	[M + H]+	169.122	Q-ToF (LCMS)	CCC=CCC1CCCC(=O)O1	splash10-0aor-7900000000-cde87cdd985f6b8415ea	Jasmin lactone	public_spectra_2506:(CCMSLIB00003138397)	XPPALVZZCMPTIV	169.122	383	6.388	857316082299989559	857316082299989558	7622	
1	SPECTRUM	false	1		2	-1 eV	0.8775786	10	2	32 eV	[M + H]+	134.071	Orbitrap (LCMS)	CC1=CC=CC2=NNN=C12	splash10-004j-9100000000-289c01d8d9d7d416ac8c	Tolytriazole	public_spectra_2506:(MSBNK-Eawag-EQ279107)	CMGDVUCDZOBDNL	134.071	390	6.505	857316082656505423	857316082656505422	7792	
1	SPECTRUM	false	0		2	-1 eV	0.53939337	12	2	-1 eV (corrected -1 eV)	[M + H]+	191.070	Orbitrap (LCMS)	CC1=CC(=O)OC2=C1C=CC(=C2)OC	splash10-0kbe-3900000000-aa7d990522c7de262945	Spectrum_000788	public_spectra_2506:(BRUNGS_MCEBIO_02143)	UDFPKNSWSYBIHO	191.070	391	6.510	857316082593590859	857316082589396554	7716	
1	SPECTRUM	false	-1		2		0.5633971	22	2	-1 eV (corrected -1 eV)	[M + H]+	281.175	Orbitrap (LCMS)	CC1CCCC=CC2CC(CC2C(C=CC(=O)O1)O)O	splash10-000w-9820000000-dcb276b9ccaf83e4a06d	Cyanaein	public_spectra_2506:(CCMSLIB00010124734)	KQNZDYYTLMIZCT	281.175	392	6.529	857316082765557335	857316082765557334	7834	
1	SPECTRUM	false	0		2	-1 eV	0.51770884	7	2	50 eV	[M + H]+	161.060	Bruker Q-ToF (LCMS)	CC1=CC2=C(C=C1)OC(=O)C=C2	splash10-0pvi-2900000000-4a210ddd6989544b7fcd	Pralina	public_spectra_2506:(MSBNK-Fiocruz-FIO00184)	FXFYOPQLGGEACP	161.060	393	6.549	857316082820083291	857316082820083290	7873	
1	SPECTRUM	false	22		2	-1 eV	0.61749744	18	2	-1 eV (corrected -1 eV)	[M + H]+	191.070	Orbitrap (LCMS)	CC1=CC(=O)OC2=C1C=CC(=C2)OC	splash10-0006-2900000000-fc9cea98cca8f82ab0ae	Spectrum_000788	public_spectra_2506:(BRUNGS_MCEBIO_02143)	UDFPKNSWSYBIHO	191.071	395	6.587	857316082874609247	857316082874609246	7946	
