formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C2H3NO3Se	[M + H]+	C2H4NO3Se+		0.333	22.209	22.209	0.000	4	0.132	-7.598	7.598	-4.732		163.940	82	1.363	857337399676483405	857336431745714952	857336431745714951	2195	
1	C3H3S3	[M + H]+	C3H4S3+		0.207	-0.222	-0.222	0.000	1	0.059	2.617	2.617	-11.067		135.945	83	1.385	857337389165557508	857336431833795340	857336431833795339	2202	
1	C9H19NO	[M + H]+	C9H20NO+		1.000	31.532	28.298	3.233	4	0.713	2.626	2.626	0.565		158.154	96	1.600	857337388146341632	857336431930264336	857336431926070031	2348	
1	C6H15NO	[M + H]+	C6H16NO+		1.000	28.926	26.495	2.431	3	0.702	6.116	6.116	0.165		118.123	103	1.713	857337384824452843	857336432018344724	857336432014150419	2407	
1	C7H13FN2O2	[M + H]+	C7H14FN2O2+		0.987	139.346	137.520	1.827	24	0.464	-6.232	6.806	-6.111		177.102	118	1.971	857337391505979171	857336432119008024	857336432114813719	2517	
1	C6H13N	[M + H]+	C6H14N+		1.000	24.129	21.301	2.829	2	0.544	7.619	7.619	0.141		100.112	169	2.817	857337388351862530	857336432207088412	857336432207088411	2883	
1	C6H15N	[M + H]+	C6H16N+		1.000	7.653	4.706	2.947	1	0.065	5.449	5.449	0.431		102.128	228	3.804	857337384119809768	857336432295168800	857336432290974495	3119	
1	C10H19N5	[M + H]+	C10H20N5+		0.420	2.000	2.000	0.000	0	0.000			-6.053		210.170	236	3.930	857337389811480349	857336432379054884	857336432379054883	3175	
1	C9H17N5	[M + H]+	C9H18N5+		0.420	2.000	2.000	0.000	0	0.000			-6.230		196.154	238	3.973	857337389312358164	857336432462940968	857336432462940967	3204	
1	C8H8N2	[M + H]+	C8H9N2+		0.998	56.694	53.728	2.966	11	0.899	1.555	1.555	0.415		133.076	239	3.978	857337389484324633	857336432567798572	857336432567798571	3190	
1	C12H17NO	[M + H]+	C12H18NO+		1.000	71.738	71.738	0.000	15	0.971	0.450	0.450	0.153		192.138	246	4.097	857337393548605230	857336432647490352	857336432643296047	3265	
1	C10H22O6	[M + H]+	C10H23O6+		1.000	22.963	22.963	0.000	4	0.943	1.070	1.070	0.105		239.149	248	4.138	857337400276268891	857336432727182132	857336432722987827	3272	
1	C9H14N4O	[M + H]+	C9H15N4O+		1.000	49.603	45.920	3.683	10	0.953	1.253	1.253	-6.240		195.123	250	4.158	857337406676776814	857336432815262520	857336432815262519	3304	
1	C8H23N4O4	[M + H]+	C8H24N4O4+		0.814	11.849	7.676	4.173	1	0.917	0.472	0.472	5.718		240.181	251	4.185	857337401517782885	857336432932703036	857336432928508731	3305	
1	C12H23NO	[M + H]+	C12H24NO+		1.000	54.115	51.469	2.646	9	0.941	0.587	0.587	0.400		198.185	254	4.240	857337415363180407	857336433041754944	857336433037560639	3334	
1	C8H4O3	[M + H]+	C8H5O3+		0.333	37.407	37.407	0.000	3	0.875	0.111	0.365	0.601		149.023	256	4.264	857337423072311725	857336433155001156	857336433155001155	3364	
1	C13H25N5O4	[M + H]+	C13H26N5O4+		0.976	12.742	12.742	0.000	2	0.844	0.733	0.733	-4.019		316.197	259	4.313	857337426146736797	857336433385687884	857336433381493579	3413	
1	C11H24O5	[M + H3N + H]+	C11H28NO5+		0.453	8.959	3.445	5.514	1	0.322	0.259	0.259	0.002		254.196	259	4.323	857337421583333512	857336433280830280	857336433276635975	3356	
1	C13H25N5O2	[M + H]+	C13H26N5O2+		0.352	15.976	9.709	6.267	1	0.827	0.483	0.483	-4.474		284.207	264	4.398	857337424775199346	857336433494739792	857336433490545487	3491	
1	C10H22O6	[M + H]+	C10H23O6+		0.949	13.771	13.771	0.000	1	1.000	0.416	0.416	0.189		239.149	265	4.415	857337424347380324	857336433595403092	857336433595403091	3489	
1	C12H23NO	[M + H]+	C12H24NO+		1.000	52.112	52.112	0.000	9	0.969	1.215	1.215	0.400		198.185	265	4.415	857337424406100591	857336433721232216	857336433717037911	3450	
1	C9H20O5	[M + Na]+	C9H20NaO5+		0.923	4.500	4.500	0.000	0	0.000			0.370		231.120	266	4.426	857337427417610921	857336433826089820	857336433821895515	3463	
1	C9H25N4O4	[M + H]+	C9H26N4O4+		0.995	31.209	25.669	5.540	3	0.702	0.892	0.892	5.324		254.196	266	4.430	857337431926487955	857336433964501856	857336433964501855	3477	
1	C9H20O5	[M + H3N + H]+	C9H24NO5+		0.960	14.961	14.961	0.000	3	0.890	1.595	1.595	0.224		226.165	266	4.433	857337430110354315	857336434086136676	857336434081942371	3474	
1	C9H20O5	[M + H]+	C9H21O5+		1.000	38.743	38.743	0.000	6	0.632	1.000	1.009	0.334		209.138	266	4.438	857337436531834054	857336434211965800	857336434207771495	3481	
1	C6H12O3	[M + H]+	C6H13O3+		1.000	46.842	46.842	0.000	6	0.517	6.908	6.908	0.295		133.086	267	4.444	857337435583921222	857336434329406316	857336434325212011	3483	
1	C12H26O7	[M + H]+	C12H27O7+		0.975	22.675	22.675	0.000	4	0.985	1.180	1.180	0.319		283.175	270	4.507	857337445054659915	857336434430069616	857336434425875311	3534	
1	C12H27NO7	[M + H]+	C12H28NO7+		0.467	5.501	2.000	3.501	0	0.000			0.273		298.186	272	4.541	857337546951113374	857336434539121524	857336434539121523	3561	
1	C15H29N5O5	[M + H]+	C15H30N5O5+		0.807	11.488	11.488	0.000	2	1.000	1.805	1.805	-3.624		360.223	274	4.573	857337547009833641	857336434660756344	857336434656562039	3603	
1	C8H18O4	[M + H]+	C8H19O4+		0.999	11.506	11.506	0.000	2	0.181	0.066	1.517	0.248		179.128	278	4.639	857337547769002817	857336434769808252	857336434769808251	3619	
1	C11H21N5	[M + H]+	C11H22N5+		0.996	37.034	37.034	0.000	5	0.816	1.130	1.130	-5.719		224.186	279	4.643	857337548704332615	857336434883054464	857336434883054463	3627	
1	C13H19N5	[M + H]+	C13H20N5+		0.317	2.000	2.000	0.000	0	0.000			-5.167		246.170	280	4.659	857337548737887052	857336435050826628	857336435050826627	3642	
1	C10H12O2	[M + H]+	C10H13O2+		0.333	133.634	133.634	0.000	23	0.974	1.427	1.427	0.508		165.091	280	4.665	857337551564847959	857336435164072840	857336435164072839	3644	
1	C10H16O4	[M - H2O + H]+	C10H15O3+		1.000	217.860	217.860	0.000	38	0.772	1.362	1.362	-98363.076		183.102	280	4.668	857337601565145976	857336435310873484	857336435310873483	3672	
1	C13H22N4O3	[M + H3N + H]+	C13H26N5O3+		0.872	13.120	13.120	0.000	2	1.000	0.133	0.133	-4.218		300.202	281	4.680	857337594464189294	857336435432508304	857336435428313999	3697	
1	C12H26O7	[M + H]+	C12H27O7+		0.943	15.639	15.639	0.000	2	0.918	1.071	1.071	0.390		283.175	282	4.692	857337673107389311	857336435528977300	857336435524782995	3696	
1	C15H29N5O3	[M + H]+	C15H30N5O3+		0.938	22.476	15.446	7.030	3	0.984	-0.067	0.201	-4.010		328.233	282	4.694	857337695647579018	857336435642223512	857336435642223511	3699	
1	C15H27N5O4	[M + H]+	C15H28N5O4+		0.995	16.292	16.292	0.000	3	0.775	0.012	0.141	-3.743		342.212	285	4.750	857337833921201392	857336435747081116	857336435747081115	3735	
1	C17H33N5O4	[M + H]+	C17H34N5O4+		0.996	40.392	36.759	3.633	5	0.976	0.771	0.771	-3.549		372.259	291	4.843	857337851965101539	857336435868715936	857336435864521631	3746	
1	C14H30O8	[M + H]+	C14H31O8+		0.939	37.629	37.629	0.000	5	0.940	1.081	1.081	0.078		327.201	291	4.853	857337847741436549	857336435981962148	857336435977767843	3812	
1	C11H24O6	[M + H]+	C11H25O6+		0.951	19.530	19.530	0.000	3	0.987	0.786	0.786	0.415		253.165	292	4.872	857337838073562651	857336436086819752	857336436082625447	3831	
1	C14H27N5O2	[M + H]+	C14H28N5O2+		0.187	22.617	18.524	4.093	3	0.770	1.581	1.581	-4.230		298.222	293	4.875	857337835334681850	857336436195871660	857336436195871659	3828	
1	C12H23NO	[M + H]+	C12H24NO+		1.000	53.189	53.189	0.000	9	0.966	0.943	0.943	0.400		198.185	301	5.022	857337847749825167	857336436313312176	857336436309117871	3944	
1	C8H6O4	[M + H]+	C8H7O4+		0.500	45.875	45.875	0.000	6	0.885	0.391	0.391	0.388		167.034	302	5.035	857337851973490158	857336436418169780	857336436413975475	3958	
1	C8H4O3	[M + H]+	C8H5O3+		0.330	56.155	56.155	0.000	7	0.872	3.643	3.643	0.668		149.023	302	5.039	857337850740364450	857336436527221688	857336436523027383	3954	
1	C6H12O2	[M + H]+	C6H13O2+		0.999	4.500	4.500	0.000	0	0.000			0.290		117.091	305	5.082	857337837092095258	857336436627884988	857336436627884987	3924	
1	C10H19NO4Se	[M + H]+	C10H20NO4Se+		0.938	34.925	34.925	0.000	10	0.412	-4.139	4.139	-2.537		292.060	306	5.095	857337864040502890	857336436745325504	857336436745325503	3929	
1	C9H20O4	[M + Na]+	C9H20NaO4+		0.923	4.500	4.500	0.000	0	0.000			0.605		215.126	306	5.097	857337835879941393	857336436845988804	857336436841794499	4016	
1	C9H20O4	[M + H]+	C9H21O4+		1.000	56.715	52.867	3.848	15	0.957	0.966	1.065	0.696		193.144	306	5.099	857337836760745237	857336436955040712	857336436955040711	4014	
1	C9H8N2O8S	[M + Na]+	C9H8N2NaO8S+		0.415	19.085	15.658	3.427	4	0.723	-1.738	1.738	-1.581		326.989	307	5.110	857337847330393932	857336437076675532	857336437072481227	4038	
1	C5H10N4O4S3	[M + Na]+	C5H10N4NaO4S3+		0.322	17.813	17.813	0.000	14	0.816	0.000	0.566	8.549		308.978	307	5.116	857337861679109710	857336437240253392	857336437236059087	4054	
1	C16H34O9	[M + H]+	C16H35O9+		0.935	50.931	50.931	0.000	8	0.941	1.145	1.145	0.245		371.228	310	5.163	857337849347855169	857336437340916692	857336437336722387	4138	
1	C19H37N5O5	[M + H]+	C19H38N5O5+		0.885	23.516	23.516	0.000	8	0.984	1.044	1.093	-3.065		416.285	310	5.169	857337848525771420	857336437475134424	857336437475134423	4132	
1	C10H27N4O4	[M + H]+	C10H28N4O4+		0.387	13.441	13.441	0.000	4	0.781	1.541	1.541	5.344		268.212	310	5.172	857337848479634066	857336437588380636	857336437584186331	4125	
1	C12H20O4	[M - H2O + H]+	C12H19O3+		1.000	126.227	121.899	4.328	26	0.983	1.177	1.177	-85304.002		211.133	312	5.206	857337838077756965	857336437697432544	857336437693238239	4173	
1	C9H12O2	[M + H]+	C9H13O2+		1.000	76.404	76.404	0.000	9	0.974	2.054	2.054	0.418		153.091	313	5.209	857337837314393372	857336437814873060	857336437810678755	4178	
1	C12H20O4	[M + H]+	C12H21O4+		1.000	53.668	53.668	0.000	10	0.959	1.118	1.118	0.543		229.144	313	5.214	857337859162527271	857336437907147752	857336437907147751	4177	
1	C14H27NO4	[M + H]+	C14H28NO4+		0.500	56.111	48.218	7.894	6	0.636	0.887	0.887	0.238		274.201	313	5.215	857337870109660831	857336438024588268	857336438020393963	4176	
1	C6H6O	[M + H]+	C6H7O+		0.990	31.714	31.714	0.000	4	0.924	4.235	4.235	0.408		95.049	313	5.215	857337876552111836	857336438133640176	857336438129445871	4171	
1	C10H16O2	[M + H]+	C10H17O2+		1.000	48.624	48.624	0.000	8	1.000	0.903	0.903	0.259		169.122	313	5.218	857337854699787789	857336438230109172	857336438230109171	4167	
1	C19H35N5O6	[M + H]+	C19H36N5O6+		0.438	26.329	25.206	1.123	5	1.000	1.703	1.703	-2.790		430.265	316	5.271	857337861217736252	857336438343355384	857336438343355383	4250	
1	C14H27NO5	[M + H]+	C14H28NO5+		0.498	5.292	2.000	3.292	0	0.000			0.243		290.196	320	5.326	857337856998266396	857336438448212988	857336438448212987	4307	
1	C10H22O5	[M + H]+	C10H23O5+		0.999	18.121	18.121	0.000	2	1.000	3.617	3.617	0.402		223.154	321	5.356	857337868222224022	857336438553070592	857336438548876287	4337	
1	C13H25N5O	[M + H]+	C13H26N5O+		0.870	3.781	3.781	0.000	1	0.220	5.669	5.669	-4.649		268.212	322	5.364	857337856809522706	857336438649539588	857336438649539587	4330	
1	C10H14FN3O	[M + H]+	C10H15FN3O+		0.981	66.188	63.611	2.577	14	0.993	-0.394	7.195	-4.982		212.118	323	5.375	857337881815963392	857336438766980104	857336438762785799	4364	
1	C12H16O3	[M + H]+	C12H17O3+		1.000	90.711	90.711	0.000	10	0.759	1.541	1.541	0.426		209.117	325	5.420	857337873435743937	857336438867643404	857336438867643403	4419	
1	C21H41N5O6	[M + H]+	C21H42N5O6+		0.997	60.918	60.918	0.000	11	0.973	1.047	1.063	-2.673		460.312	326	5.440	857337867525969548	857336438972501008	857336438972501007	4462	
1	C20H43NO11	[M + H]+	C20H44NO11+		0.473	19.666	19.666	0.000	4	1.000	1.212	1.212	0.406		474.291	333	5.551	857337859510654513	857336439073164308	857336439073164307	4480	
