id,sirius_id,molecular_formula,precursor_mz,rt,score
16264,857336465476309620,C16H21NO3,276.16,14.13,0.998
16266,857336465530835576,C18H26O3,291.196,14.13,1.0
16282,857336465639887488,C18H39N,270.316,14.143,1.0
16292,857336465761522312,C19H27NO3,318.206,14.156,1.0
16345,857336465874768528,C18H15O4P,327.078,14.231,0.993
16376,857336466059317916,C14H30O3,247.227,14.237,1.0
16421,857336466180952740,C16H34O4,308.28,14.287,1.0
16427,857336466235478696,C16H34O4,291.253,14.291,1.0
16462,857336466344530608,C9H19NOS2,222.098,14.306,0.997
16511,857336466508108476,C2H4O2,98.984,14.333,1.0
16517,857336466558440128,C12H27O4P,267.172,14.334,0.943
16423,857336466453582520,C18H15O4P,327.078,14.336,0.99
16530,857336466608771780,C18H38O5,335.279,14.342,1.0
16534,857336466663297736,C18H38O5,352.306,14.343,1.0
16558,857336466717823692,C14H29NO,228.232,14.354,1.0
16597,857336466822681300,C20H42O6,379.305,14.373,1.0
16598,857336466873012952,C22H38N2O3,396.332,14.374,1.0
16603,857336466923344604,C18H45N7O4,424.363,14.378,0.875
16614,857336466973676256,C22H46O7,423.332,14.38,1.0
16617,857336467175002860,C22H46O7,440.358,14.387,1.0
16631,857336467225334512,C28H51N3O2,484.385,14.393,0.991
16707,857336467279860468,C18H15O4P,327.078,14.459,0.887
16728,857336467342775032,C15H30N2O,255.243,14.472,1.0
16776,857336467468604160,C16H24O2,249.185,14.524,1.0
16811,857336467527324420,C13H17NO,204.138,14.543,0.998
16990,857336467590238984,C16H24O2,249.185,14.635,1.0
16936,857336467644764940,C14H30O3,247.227,14.638,0.99
17007,857336467804148504,C16H34O4,308.28,14.68,0.848
17000,857336467854480156,C16H34O4,291.253,14.682,0.999
17069,857336467909006112,C18H38O5,335.279,14.723,1.0
17080,857336468009669416,C18H38O5,352.306,14.728,0.987
17101,857336468064195372,C18H45N7O4,424.363,14.738,1.0
17228,857336468114527024,C14H30O3,247.227,14.845,1.0
17297,857336468169052980,C16H34O4,308.28,14.89,1.0
17300,857336468219384632,C16H34O4,313.235,14.892,0.928
17303,857336468324242240,C16H34O4,291.253,14.894,0.998
17356,857336468374573892,C18H38O5,352.306,14.928,1.0
17354,857336468479431500,C18H38O5,335.279,14.929,1.0
17401,857336468529763152,C18H45N7O4,424.363,14.954,0.816
17396,857336468584289108,C20H42O6,396.332,14.954,1.0
17463,857336468634620760,C14H30O3,269.209,15.006,1.0
17468,857336468689146716,C14H30O3,247.227,15.011,1.0
17494,857336468806587236,C2H4OS,114.961,15.033,1.0
17496,857336468865307496,C12H27O3PS,283.149,15.033,1.0
17500,857336468924027756,C5H12O2Si,171.024,15.034,0.999
17536,857336469024691060,C16H34O4,291.253,15.05,0.998
17531,857336469129548668,C16H34O4,308.28,15.05,0.996
17583,857336469230211972,C18H38O5,335.279,15.082,1.0
17562,857336469288932232,C17H24O4,293.175,15.086,0.996
17673,857336469339263884,C17H24O3,277.18,15.106,0.999
17657,857336469393789840,C15H31NO2,258.243,15.131,1.0
17683,857336469444121492,C15H32O3,261.243,15.147,1.0
17760,857336469494453144,C17H24O4,293.175,15.204,0.999
17902,857336469729334184,C11H12O,161.096,15.331,1.0
17901,857336469850969008,C17H24O3,277.18,15.333,1.0
17985,857336469909689268,C16H26O2,251.201,15.391,1.0
18013,857336469960020920,C20H43N,298.347,15.412,1.0
18062,857336470014546876,C17H24O4,293.175,15.446,1.0
18030,857336470069072832,C19H20O4,313.143,15.453,0.999
18098,857336470119404484,C17H32O2,269.248,15.486,1.0
18109,857336470169736136,C21H45N,312.362,15.498,1.0
18299,857336470329119700,C7H6,91.054,15.595,0.99
18367,857336470618526684,C2H4O2,98.984,15.686,1.0
18470,857336470677246944,C18H24O2,273.185,15.722,1.0
18592,857336470731772900,C18H32O7,383.204,15.839,0.994
18603,857336470782104552,C18H32O7,361.222,15.842,0.994
18668,857336470886962160,C13H27NO,214.217,15.89,1.0
18791,857336470937293812,C17H36O4,305.269,15.996,1.0
18794,857336470991819768,C20H39N5,350.326,16.001,0.985
18811,857336471042151420,C16H14O,223.112,16.001,0.999
19072,857336471092483072,C15H32O3,261.243,16.182,0.992
19117,857336471142814724,C17H36O4,305.269,16.197,1.0
19285,857336471423833112,C18H36O5,350.29,16.291,0.867
19292,857336471474164764,C18H36O5,333.264,16.296,1.0
19322,857336471532885024,C16H32O4,289.237,16.321,1.0
19314,857336471587410980,C16H32O4,311.219,16.322,0.98
19312,857336471650325544,C10H23N6,228.204,16.329,0.931
19333,857336471704851500,C39H72O13,749.504,16.331,0.979
19437,857336471763571760,C14H26O2,227.201,16.348,1.0
19366,857336471813903412,C19H38O4,313.274,16.353,1.0
19701,857336471969092672,C21H36O4,370.295,16.615,0.997
19695,857336472015230020,C23H40O5,397.295,16.616,1.0
19702,857336472061367368,C23H40O5,414.321,16.62,1.0
19916,857336472111699020,C20H28O5,349.201,16.807,0.994
20080,857336472212362324,CH4O2Si,114.961,16.931,1.0
20119,857336472367551584,C17H16O,237.127,16.956,1.0
20281,857336472518546540,C17H36O3,289.274,17.064,1.0
20360,857336472627598452,C14H32Si,229.236,17.126,1.0
20352,857336472682124408,C14H29NO,228.232,17.127,1.0
20412,857336472736650364,C16H24O7,329.159,17.156,1.0
20399,857336472786982016,C22H41NO8,448.291,17.156,0.998
20414,857336472845702276,C20H34O8,425.215,17.157,0.942
20420,857336472950559884,C20H34O8,403.233,17.158,1.0
20500,857336473063806100,C17H36O3,289.274,17.23,1.0
20545,857336473118332056,C15H31NO,242.248,17.255,1.0
20856,857336473214801056,C15H32N4O2,323.235,17.476,0.942
20859,857336473265132708,C17H32O3,285.242,17.479,1.0
20933,857336473315464360,C12H14O4,223.097,17.54,1.0
21087,857336473361601708,C16H33NO,256.264,17.603,1.0
21258,857336473508402360,C2H4OS,114.961,17.797,1.0
21327,857336473651008708,C17H32O3,285.242,17.858,1.0
21354,857336473697146056,C18H35NO,282.279,17.882,1.0
21390,857336473793615056,C18H30O6,343.212,17.911,1.0
21504,857336473835558100,C24H31NO4,398.233,17.996,1.0
21571,857336473885889752,C17H36O3,289.274,18.039,1.0
21590,857336473932027100,C17H32O3,285.243,18.041,1.0
21669,857336474024301796,C19H40O4,355.282,18.111,0.98
21678,857336474070439144,C19H40O4,333.3,18.119,1.0
21798,857336474116576492,C13H28N2O,229.228,18.22,1.0
21848,857336474162713840,C8H12,109.101,18.242,1.0
21838,857336474263377144,C7H19N7O2,272.122,18.247,0.838
21839,857336474309514492,C8H14O,127.112,18.247,1.0
21845,857336474359846144,C26H43NO5,450.321,18.25,1.0
21842,857336474405983492,C24H36O5,427.246,18.254,1.0
21853,857336474452120840,C24H36O5,405.264,18.254,0.997
21864,857336474498258188,C24H36O5,422.29,18.257,0.998
21860,857336474544395536,C22H32O5,377.232,18.261,0.997
22105,857336474586338580,C18H36O4,317.269,18.434,1.0
22362,857336474678613276,C19H34O3,311.258,18.622,1.0
22389,857336474720556320,C16H35O3PS,339.212,18.655,0.996
22390,857336474766693668,C2H4OS,114.961,18.656,0.993
22394,857336474817025320,C20H43NOS,384.27,18.659,0.997
22441,857336474909300016,C17H35NO,270.279,18.691,1.0
22530,857336475001574712,C24H36O5,427.246,18.76,1.0
22547,857336475139986756,C24H36O5,405.264,18.765,0.871
22590,857336475186124104,C18H37NO,284.295,18.802,1.0
22639,857336475232261452,C18H34O4,315.253,18.826,1.0
22726,857336475370673496,C22H42O6,420.332,18.885,0.998
22720,857336475412616540,C22H42O6,403.306,18.886,0.957
22724,857336475462948192,C10H18O2,171.138,18.887,1.0
22717,857336475584583016,C19H36O2,297.279,18.902,1.0
22859,857336475630720364,C17H35NO,270.279,18.987,1.0
22978,857336475681052016,C26H45NO5,452.337,19.088,0.998
22982,857336475722995060,C24H38O5,429.261,19.089,0.981
22983,857336475769132408,C24H38O5,389.269,19.09,1.0
22998,857336475815269756,C24H36O5,405.264,19.1,0.996
23021,857336475915933060,C2H4O2,98.984,19.108,1.0
23020,857336475966264712,C17H36N4O2,351.266,19.111,0.998
23159,857336476016596364,C28H49NO5,480.369,19.192,0.998
