id,sirius_id,annotation_type,compound_name,smiles,molecular_formula,precursor_mz,rt,score,cluster_label,cluster_membership_probability,cluster_outlier_score
14414,857336462640959904,spectral_match,N-Octylpyrrolidone,CCCCCCCCN1CCCC1=O,,198.185,12.689,0.9868309,5,1.0,0.0
14869,857336463353991636,denovo,,NCC1CCC(CC2CCCC2)CC1,C13H25N,234.162,12.988,-2.863,5,1.0,0.0
18470,857336470677246944,structure_db_match,Galaxolidone,CC1COC(=O)C2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C,C18H24O2,273.185,15.722,0.892,5,1.0,0.0
22724,857336475462948192,spectral_match,|A-Decalactone,CCCCC1CCCCC(=O)O1,,171.138,18.887,0.8990143,5,1.0,0.0
1124,857336428931336864,spectral_match,"4-Hydroxy-2,2,6,6-tetramethyl-1-piperidineethanol",CC1(CC(CC(N1CCO)(C)C)O)C,,202.18,0.951,0.94728816,5,0.9913681753149854,0.00863182468501453
5234,857336441036098660,spectral_match,Dicyclohexylmethylamine,CN(C1CCCCC1)C2CCCCC2,,196.206,6.131,0.92730117,5,0.9548554094468331,0.04514459055316693
10052,857336452805316356,denovo,"2,3-dihydro-1H-inden-4-ol",C1CC2=C(C1)C(=CC=C2)O,C9H10O,135.08,9.537,-0.693,5,0.9548554094468331,0.04514459055316693
10538,857336453673537348,structure_db_match,N-cyclohexyl-3-methylbutanamide,CC(C)CC(=O)NC1CCCCC1,C11H21NO,184.17,9.883,0.81,5,0.8961079509587536,0.10389204904124642
10874,857336454353014648,spectral_match,Bayrepel,CCC(C)OC(=O)N1CCCCC1CCO,,230.175,10.172,0.86267984,5,0.8465539996659182,0.15344600033408182
17985,857336469909689268,spectral_match,Sclareolide,CC1(CCCC2(C1CCC3(C2CC(=O)O3)C)C)C,,251.201,15.391,0.83812726,5,0.7587132680147293,0.24128673198527079
1068,857336429254298284,spectral_match,Dicha,C1CCC(CC1)NC2CCCCC2,,182.19,0.953,0.9365913,5,0.669096134941716,0.3309038650582839
10391,857336453400907568,denovo,N-(tert-butyl)-N'-cyclohexylurea,CC(C)(C)NC(=O)NC1CCCCC1,C11H22N2O,199.181,9.773,-0.429,5,0.669096134941716,0.3309038650582839
