id,mz,rt,area,height,detected_rate,has_ms2,detected:fraction:POC,mean_area:fraction:POC,detected:fraction:WSOC,mean_area:fraction:WSOC,log2FC:fraction:POC_vs_WSOC,welch_p:fraction:POC_vs_WSOC,detected:day_type:weekday,mean_area:day_type:weekday,detected:day_type:weekend,mean_area:day_type:weekend,log2FC:day_type:weekday_vs_weekend,welch_p:day_type:weekday_vs_weekend
8026,444.29302,8.0084,7183.0,58430.0,0.05555555555555555,False,False,468.5,True,868.6277777777777,-0.8906890414736164,0.46896548268632854,False,33.05416666666667,True,1939.5833333333333,-5.874770808571573,0.018424571869841977
8031,417.92236,7.9899,21350.0,172000.0,0.16666666666666666,False,True,3238.3,True,3240.5555555555557,-0.0010045227642485144,0.9992780724709074,False,0.0,True,9718.283333333333,-inf,0.0066065013966803
8032,643.40647,7.992,15060.0,109600.0,0.16666666666666666,False,True,2055.5555555555557,True,2340.516666666667,-0.18729867423718266,0.8667875658208356,False,14.137500000000001,True,6565.833333333333,-8.859307294662537,0.007343197167125101
8036,453.63641,8.0054,15380.0,116500.0,0.16666666666666666,False,True,2308.144444444444,True,2244.038888888889,0.04063583327012843,0.9701713277085506,False,55.82916666666667,True,6716.616666666666,-6.910571861078794,0.006808111915497428
8038,463.31471,7.9941,4469.0,61400.0,0.08333333333333333,False,False,416.05555555555554,True,642.8888888888889,-0.627793233603185,0.5934138346660328,False,0.0,True,1588.4166666666667,-inf,0.009827644040319217
8039,298.23783,8.001,26060.0,187900.0,0.4166666666666667,False,True,18594.055555555555,False,858.8777777777779,4.43624481715119,6.160693625851555e-10,True,10867.379166666664,True,7444.641666666666,0.5457297402451283,0.2929615628289004
8041,453.97092,7.9982,9830.0,77030.0,0.1111111111111111,False,True,1303.35,True,1206.8833333333334,0.11093833469402362,0.9232959045477305,False,24.383333333333336,True,3716.5833333333335,-7.2519377826588185,0.011060029693147589
8044,199.03904,7.9954,28390.0,157500.0,0.16666666666666666,False,True,7262.277777777777,False,0.0,inf,0.003029856965773213,False,1126.8333333333333,True,8639.75,-2.9387154207078257,0.03827947448792372
8045,657.42203,7.9983,20060.0,152100.0,0.16666666666666666,False,True,2660.5555555555557,True,3079.05,-0.21075776615407188,0.8510620365073147,False,11.7875,True,8585.833333333334,-9.508556586592858,0.007528162943617895
8046,626.38003,8.0035,14440.0,116000.0,0.16666666666666666,False,True,2205.5555555555557,True,2191.1111111111113,0.009479455652408451,0.9932420434689113,False,0.0,True,6595.0,-inf,0.007148946107718226
8047,269.07689,7.9882,10750.0,68310.0,0.16666666666666666,False,True,4487.711111111112,False,0.0,inf,0.00019678530493387895,True,3276.4166666666665,False,178.73333333333335,4.196238214557944,0.0011178662654338712
8049,166.11216,7.993,7312.0,82330.0,0.05555555555555555,False,True,1601.427777777778,False,86.62222222222222,4.208477741722631,0.013107266020768962,False,194.27916666666667,True,2143.516666666667,-3.4637765263459928,0.02951288516498984
8053,304.24835,8.0108,42480.0,357300.0,0.8888888888888888,False,True,10560.055555555555,True,23078.333333333332,-1.1279216148581253,5.2516618948750044e-05,True,12221.708333333334,True,26014.166666666668,-1.089851535859445,0.0011081903953388855
8054,671.43778,8.0097,10810.0,83970.0,0.16666666666666666,False,True,1410.0555555555557,True,1595.611111111111,-0.17835706956525837,0.874118186871637,False,0.0,True,4508.5,-inf,0.0074786006754967195
8056,153.03123,8.0037,7617.0,86800.0,0.16666666666666666,False,False,155.45,True,3471.027777777778,-4.4808403889531325,7.969816227885775e-07,False,1192.9791666666667,True,3053.758333333333,-1.3560170463756784,0.0532854340984789
8063,416.30079,7.9609,38670.0,109000.0,0.25,False,True,3849.9166666666665,True,12590.555555555555,-1.7094428196529472,0.022795559190856015,True,2588.7708333333335,True,19483.166666666668,-2.9118890189030755,0.0015013886071148625
8065,241.17991,8.0066,59840.0,542000.0,0.2777777777777778,True,True,12348.666666666666,True,27747.777777777777,-1.1680169588504068,0.0011657232972690956,True,12964.833333333334,True,34215.0,-1.4000252873210708,0.0012943473231617705
8068,462.98027,7.9972,8649.0,84450.0,0.08333333333333333,False,True,998.4444444444445,True,922.1111111111111,0.11474155455325993,0.9247588440992693,False,0.0,True,2880.8333333333335,-inf,0.014549157792927925
8070,350.21742,8.0196,16870.0,57450.0,0.027777777777777776,False,True,1518.9666666666667,False,724.3555555555555,1.0683202762585386,0.4150743751961985,False,740.8916666666668,True,1883.2,-1.3458517135925188,0.4284107454113505
8074,145.17001,8.0254,9455.0,145100.0,0.027777777777777776,False,False,1520.6666666666667,True,896.1333333333333,0.762918637743473,0.37949362854005797,False,1297.4541666666667,True,1030.2916666666667,0.3326307657039845,0.7271198396277103
8079,200.1646,8.0306,256100.0,1714000.0,0.8055555555555556,True,True,52920.555555555555,True,159788.88888888888,-1.59426698013168,7.05096915831339e-11,True,102225.41666666667,True,114613.33333333333,-0.16502094391423813,0.6080011349408461
8082,679.93684,8.0441,6724.0,88950.0,0.027777777777777776,False,True,954.5,False,560.1666666666666,0.7688890608170922,0.5319659994544805,False,0.0,True,2272.0,-inf,0.013491651343761275
8083,458.9681,8.041,10260.0,84060.0,0.1388888888888889,False,True,1562.9444444444443,True,1392.8333333333333,0.16624386287178,0.883919866494143,False,0.0,True,4433.666666666667,-inf,0.008339005801072316
8087,204.11325,8.0256,19530.0,142800.0,0.5,False,False,1973.8388888888887,True,10624.166666666666,-2.4282735419811305,6.091339054287988e-08,True,4651.004166666667,True,9595.0,-1.0447405740991667,0.034678349768257934
8091,201.16796,8.031,20880.0,222500.0,0.027777777777777776,False,True,4166.388888888889,False,15433.888888888889,-1.8892322134058217,1.6101847535959285e-13,True,9200.416666666666,False,10999.583333333334,-0.2576777709234486,0.45947227974721194
8094,307.24801,8.0391,9486.0,93580.0,0.3333333333333333,False,False,967.4722222222222,True,5878.222222222223,-2.6030877554033256,1.908624442719229e-10,True,3149.620833333333,True,3969.2999999999997,-0.33370644503726293,0.4720190605535425
8095,182.1541,8.0418,6616.0,67450.0,0.3055555555555556,False,False,1283.9888888888888,True,4752.866666666667,-1.8881652119049634,7.179249105017648e-08,True,3343.695833333333,True,2367.8916666666664,0.4978405376674606,0.21573047708871568
8101,190.126,8.1018,82360.0,288200.0,0.027777777777777776,False,True,4972.333333333333,False,0.0,inf,0.29100781215474525,False,297.5833333333333,True,6863.333333333333,-4.527543790933551,0.35951992934572985
8102,438.27347,8.0566,4789.0,53490.0,0.027777777777777776,False,True,584.2777777777778,False,565.6111111111111,0.046843957998361725,0.9680990946064203,False,0.0,True,1724.8333333333333,-inf,0.010817666445095542
8107,400.26942,8.0484,20280.0,60340.0,0.027777777777777776,False,False,727.7722222222222,True,2639.4277777777775,-1.858666298098255,0.10112105112375226,False,653.3458333333333,True,3744.1083333333336,-2.518703423026593,0.0721102958432196
