id,sirius_id,molecular_formula,precursor_mz,rt,score
25055,857316101463766067,C24H38O5,407.279,18.623,0.998
25064,857316101539263547,C24H38O5,389.269,18.628,1.0
25065,857316101581206591,C26H45NO5,452.337,18.631,1.0
25083,857316101623149635,C20H43NOS,384.27,18.656,0.987
25104,857316101774144595,C24H46O7,464.358,18.669,0.999
25150,857316101816087639,C17H35NO,270.279,18.694,1.0
25225,857316101858030683,C24H36O4,389.269,18.767,1.0
25544,857316102164214903,C17H35NO,270.279,18.994,1.0
25627,857316102218740859,C6H13N,100.112,19.054,1.0
25703,857316102311015555,C24H38O5,389.269,19.092,1.0
25723,857316102348764295,C8H4O3,149.023,19.103,0.998
25756,857316102386513035,C24H36O5,405.263,19.103,0.991
25574,857316102424261775,C26H43NO5,450.321,19.112,0.999
25802,857316102466204819,C19H38O4,331.284,19.139,0.999
25919,857316102688502943,C28H49NO5,480.368,19.244,1.0
26018,857316102726251683,C16H33NO,256.264,19.289,1.0
26013,857316102805943467,C17H32N2O7,377.229,19.291,0.983
26237,857316103086961863,C18H38O3,303.289,19.45,1.0
26338,857316103128904907,C17H35NO,270.279,19.507,1.0
26430,857316103258928343,C27H46O5,468.368,19.572,1.0
26456,857316103384757475,C28H49NO5,480.368,19.599,1.0
26479,857316103426700519,C29H50O2,431.384,19.63,0.811
26481,857316103464449259,C13H20O2,226.18,19.635,1.0
26716,857316103686747391,C10H30O5Si5,371.101,19.767,0.994
26920,857316103909045523,C25H40O3,389.305,19.868,1.0
26956,857316103988737307,C12H20O,198.185,19.91,1.0
26968,857316104030680351,C13H22O3,209.154,19.91,1.0
26965,857316104114566439,C13H20O2,226.18,19.913,1.0
26970,857316104156509483,C13H25NO2,228.196,19.915,1.0
27038,857316104194258223,C22H43NO2,354.337,19.955,1.0
27073,857316104236201267,C23H42O4,383.316,19.998,0.999
27164,857316104282338615,C24H38O5,407.279,20.056,1.0
27439,857316104504636747,C21H44O4,361.331,20.22,1.0
27527,857316104592717139,C36H62O10,655.441,20.328,0.903
27731,857316104718546271,C21H26O3,327.195,20.422,0.999
27862,857316104810820967,C18H40Si,285.298,20.469,1.0
27797,857316104856958315,C36H62O10,655.441,20.485,0.946
27963,857316104995370359,C20H39NO,310.31,20.58,1.0
28051,857316105079256447,C20H41NO,312.326,20.649,1.0
28164,857316105263805839,C36H62O10,655.441,20.747,0.845
28269,857316105309943187,C22H40O,338.342,20.766,1.0
28234,857316105406412187,C26H47NO2,444.324,20.777,0.885
